year,month,date,hour,minute,second,et,x_cur,y_cur,x_log,y_log,z_log,yaw,bat
2024,11,20,15,30,30,12840.254,0.145,0.058,0.145,0.058,1.065,-0.762,3.204
2024,11,20,15,30,30,12946.853,0.158,0.067,0.158,0.067,1.065,-1.551,3.204
2024,11,20,15,30,30,13044.028,0.164,0.07,0.164,0.07,1.063,-2.365,3.178
2024,11,20,15,30,30,13139.570,0.176,0.083,0.176,0.083,1.06,-2.304,3.199
2024,11,20,15,30,31,13242.405,0.177,0.099,0.177,0.099,1.054,-1.683,3.178
2024,11,20,15,30,31,13339.998,0.185,0.114,0.185,0.114,1.047,-0.933,3.172
2024,11,20,15,30,31,13440.400,0.202,0.113,0.202,0.113,1.044,-0.257,3.162
2024,11,20,15,30,31,13540.679,0.221,0.113,0.221,0.113,1.044,0.002,3.178
2024,11,20,15,30,31,13640.534,0.228,0.112,0.228,0.112,1.046,0.178,3.188
2024,11,20,15,30,31,13740.828,0.235,0.105,0.235,0.105,1.047,0.453,3.188
2024,11,20,15,30,31,13839.732,0.239,0.106,0.239,0.106,1.043,1.23,3.188
2024,11,20,15,30,31,13940.883,0.0,0.0,0.237,0.11,1.042,2.419,3.167
2024,11,20,15,30,31,14040.439,0.006,-0.006,0.244,0.104,1.044,3.306,3.183
2024,11,20,15,30,31,14141.763,0.002,-0.019,0.24,0.091,1.039,3.641,3.162
2024,11,20,15,30,32,14240.143,0.01,-0.016,0.248,0.095,1.04,3.912,3.157
2024,11,20,15,30,32,14346.939,0.024,-0.002,0.261,0.109,1.043,3.96,3.188
2024,11,20,15,30,32,14439.929,0.045,0.018,0.283,0.129,1.046,3.644,3.183
2024,11,20,15,30,32,14539.900,0.064,0.03,0.301,0.14,1.051,2.703,3.199
2024,11,20,15,30,32,14641.415,0.081,0.045,0.319,0.155,1.053,1.706,3.188
2024,11,20,15,30,32,14738.690,0.101,0.052,0.338,0.162,1.052,0.983,3.183
2024,11,20,15,30,32,14841.394,0.119,0.057,0.356,0.168,1.052,0.353,3.178
2024,11,20,15,30,32,14942.136,0.13,0.059,0.367,0.17,1.049,0.145,3.178
2024,11,20,15,30,32,15040.889,0.149,0.057,0.386,0.167,1.048,0.208,3.178
2024,11,20,15,30,32,15140.688,0.169,0.052,0.406,0.163,1.041,0.118,3.167
2024,11,20,15,30,33,15239.257,0.187,0.051,0.425,0.161,1.04,-0.249,3.167
2024,11,20,15,30,33,15344.291,0.206,0.046,0.443,0.157,1.042,-0.867,3.172
2024,11,20,15,30,33,15439.248,0.226,0.045,0.464,0.156,1.045,-1.647,3.194
2024,11,20,15,30,33,15542.298,0.251,0.039,0.488,0.15,1.047,-2.33,3.194
2024,11,20,15,30,33,15640.736,0.273,0.042,0.51,0.153,1.045,-2.844,3.178
2024,11,20,15,30,33,15742.063,0.292,0.038,0.529,0.148,1.049,-3.365,3.188
2024,11,20,15,30,33,15838.249,0.316,0.031,0.553,0.141,1.043,-3.67,3.183
2024,11,20,15,30,33,15938.892,0.339,0.029,0.576,0.139,1.043,-3.762,3.178
2024,11,20,15,30,33,16039.043,0.354,0.022,0.592,0.132,1.041,-3.866,3.178
2024,11,20,15,30,33,16138.495,0.365,0.012,0.603,0.122,1.041,-3.805,3.194
2024,11,20,15,30,34,16239.056,0.378,-0.007,0.615,0.103,1.039,-3.622,3.183
2024,11,20,15,30,34,16339.436,0.382,-0.021,0.62,0.089,1.034,-3.157,3.172
2024,11,20,15,30,34,16440.773,0.394,-0.03,0.631,0.081,1.034,-2.811,3.178
2024,11,20,15,30,34,16541.479,0.413,-0.039,0.65,0.071,1.032,-2.39,3.188
2024,11,20,15,30,34,16638.233,0.437,-0.048,0.674,0.062,1.03,-1.916,3.178
2024,11,20,15,30,34,16738.806,0.448,-0.048,0.685,0.063,1.024,-1.327,3.157
2024,11,20,15,30,34,16838.169,0.462,-0.05,0.699,0.06,1.02,-0.839,3.146
2024,11,20,15,30,34,16941.532,0.498,-0.053,0.735,0.057,1.02,-0.547,3.162
2024,11,20,15,30,34,17041.705,0.509,-0.049,0.747,0.061,1.015,-0.596,3.167
2024,11,20,15,30,34,17137.478,0.521,-0.041,0.759,0.07,1.013,-1.023,3.146
2024,11,20,15,30,35,17237.947,0.542,-0.032,0.779,0.078,1.008,-1.858,3.146
2024,11,20,15,30,35,17337.850,0.546,-0.021,0.784,0.089,1.004,-2.86,3.146
2024,11,20,15,30,35,17438.970,0.552,-0.016,0.789,0.094,1.001,-3.414,3.135
2024,11,20,15,30,35,17536.857,0.559,-0.011,0.796,0.099,1.001,-3.472,3.151
2024,11,20,15,30,35,17639.951,0.579,-0.02,0.816,0.091,1.004,-3.531,3.162
2024,11,20,15,30,35,17737.023,0.594,-0.035,0.831,0.075,1.009,-3.286,3.178
2024,11,20,15,30,35,17836.780,0.602,-0.046,0.839,0.065,1.017,-2.328,3.194
2024,11,20,15,30,35,17938.440,0.619,-0.067,0.856,0.044,1.019,-1.04,3.183
2024,11,20,15,30,35,18036.801,0.633,-0.075,0.87,0.035,1.018,0.229,3.178
2024,11,20,15,30,35,18140.248,0.651,-0.082,0.888,0.028,1.02,1.226,3.167
2024,11,20,15,30,36,18238.592,0.679,-0.092,0.916,0.019,1.019,1.764,3.162
2024,11,20,15,30,36,18337.587,0.691,-0.096,0.928,0.014,1.018,2.115,3.146
2024,11,20,15,30,36,18444.638,0.721,-0.096,0.958,0.015,1.015,2.224,3.151
2024,11,20,15,30,36,18535.918,0.738,-0.093,0.975,0.017,1.011,1.868,3.141
2024,11,20,15,30,36,18646.254,0.747,-0.082,0.985,0.028,1.006,1.018,3.135
2024,11,20,15,30,36,18736.410,0.76,-0.076,0.998,0.035,1.005,0.165,3.13
2024,11,20,15,30,36,18837.032,0.775,-0.07,1.013,0.04,1.003,-0.384,3.125
2024,11,20,15,30,36,18939.259,0.801,-0.068,1.038,0.043,1.01,-0.732,3.167
2024,11,20,15,30,36,19035.715,0.825,-0.066,1.062,0.045,1.012,-0.924,3.167
2024,11,20,15,30,36,19136.396,0.846,-0.068,1.084,0.042,1.013,-0.874,3.157
2024,11,20,15,30,37,19236.663,0.852,-0.071,1.09,0.039,1.015,-0.651,3.167
2024,11,20,15,30,37,19335.078,0.877,-0.067,1.115,0.043,1.014,-0.403,3.162
2024,11,20,15,30,37,19436.162,0.896,-0.069,1.133,0.042,1.013,-0.24,3.135
2024,11,20,15,30,37,19535.228,0.92,-0.069,1.158,0.042,1.012,-0.429,3.151
2024,11,20,15,30,37,19643.946,0.933,-0.066,1.171,0.044,1.009,-0.672,3.146
2024,11,20,15,30,37,19738.342,0.953,-0.06,1.19,0.05,1.007,-0.788,3.13
2024,11,20,15,30,37,19841.272,0.969,-0.053,1.207,0.057,1.005,-0.651,3.135
2024,11,20,15,30,37,19937.171,0.987,-0.048,1.224,0.063,1.004,-0.455,3.135
2024,11,20,15,30,37,20035.519,1.0,-0.029,1.237,0.082,1.004,-0.156,3.146
2024,11,20,15,30,37,20135.587,1.014,-0.013,1.251,0.097,1.007,0.279,3.146
2024,11,20,15,30,38,20235.720,1.038,0.002,1.276,0.113,1.007,0.449,3.151
2024,11,20,15,30,38,20336.885,1.059,0.01,1.297,0.12,1.006,0.513,3.13
2024,11,20,15,30,38,20435.716,1.081,0.013,1.319,0.123,1.006,0.408,3.13
2024,11,20,15,30,38,20537.305,1.107,0.019,1.344,0.13,1.006,0.153,3.141
